CaseID,Activity,EventType,Resource,Timestamp
8,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T04:45:47
8,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T04:53:04
8,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-04T09:11:25
8,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-05T03:11:25
8,Antrag prüfen,start,Manager_#0,2017-10-05T03:11:25
8,Antrag prüfen,complete,Manager_#0,2017-10-05T04:11:25
8,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-23T06:32:06
8,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-23T06:48:42
8,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-08T06:27:54
8,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-08T08:27:54
8,Antrag prüfen,start,Manager_#0,2017-11-08T08:27:54
8,Antrag prüfen,complete,Manager_#0,2017-11-08T09:27:54
9,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T04:53:04
9,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T05:30:55
9,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-19T09:29:45
9,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-19T10:43:02
9,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-08T04:11:18
9,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-08T04:12:40
9,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-15T05:07:58
9,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-15T07:07:58
9,Antrag prüfen,start,Manager_#0,2017-11-15T07:07:58
9,Antrag prüfen,complete,Manager_#0,2017-11-15T08:07:58
9,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-23T09:38:34
9,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-24T02:03:16
9,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-29T08:22:09
9,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-29T08:30:34
9,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-12-01T09:22:01
9,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-12-04T03:22:01
9,Antrag prüfen,start,Manager_#0,2017-12-04T03:22:01
9,Antrag prüfen,complete,Manager_#0,2017-12-04T04:22:01
10,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T05:30:55
10,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T05:41:50
10,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-05T03:23:16
10,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-05T05:23:16
10,Antrag prüfen,start,Manager_#0,2017-10-05T05:23:16
10,Antrag prüfen,complete,Manager_#0,2017-10-05T06:23:16
11,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T05:41:50
11,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T05:46:19
11,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-05T05:23:16
11,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-05T07:23:16
11,Antrag prüfen,start,Manager_#0,2017-10-05T07:23:16
11,Antrag prüfen,complete,Manager_#0,2017-10-05T08:23:16
11,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-23T06:48:42
11,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-23T06:51:17
11,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-08T08:27:54
11,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-09T02:27:54
11,Antrag prüfen,start,Manager_#0,2017-11-09T02:27:54
11,Antrag prüfen,complete,Manager_#0,2017-11-09T03:27:54
11,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-20T08:42:48
11,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-20T08:48:08
11,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-24T03:08:25
11,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-24T05:08:25
11,Antrag prüfen,start,Manager_#0,2017-11-24T05:08:25
11,Antrag prüfen,complete,Manager_#0,2017-11-24T06:08:25
12,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T05:46:19
12,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T06:07:53
12,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-05T07:23:19
12,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-05T09:23:19
12,Antrag prüfen,start,Manager_#0,2017-10-05T09:23:19
12,Antrag prüfen,complete,Manager_#0,2017-10-05T10:23:19
13,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T06:07:53
13,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T06:30:57
13,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-05T09:36:51
13,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-06T03:36:51
13,Antrag prüfen,start,Manager_#0,2017-10-06T03:36:51
13,Antrag prüfen,complete,Manager_#0,2017-10-06T04:36:51
14,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T06:30:57
14,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T06:45:53
14,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-06T03:36:51
14,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-06T05:36:51
14,Antrag prüfen,start,Manager_#0,2017-10-06T05:36:51
14,Antrag prüfen,complete,Manager_#0,2017-10-06T06:36:51
14,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-23T06:51:17
14,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-23T06:56:22
14,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-09T02:27:54
14,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-09T04:27:54
14,Antrag prüfen,start,Manager_#0,2017-11-09T04:27:54
14,Antrag prüfen,complete,Manager_#0,2017-11-09T05:27:54
14,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-20T08:48:08
14,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-20T09:02:25
14,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-24T05:08:25
14,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-24T07:08:25
14,Antrag prüfen,start,Manager_#0,2017-11-24T07:08:25
14,Antrag prüfen,complete,Manager_#0,2017-11-24T08:08:25
15,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T06:45:53
15,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T06:46:29
15,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-06T05:36:51
15,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-06T07:36:51
15,Antrag prüfen,start,Manager_#0,2017-10-06T07:36:51
15,Antrag prüfen,complete,Manager_#0,2017-10-06T08:36:51
16,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T06:46:29
16,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:03:13
16,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-06T07:41:19
16,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-06T09:41:19
16,Antrag prüfen,start,Manager_#0,2017-10-06T09:41:19
16,Antrag prüfen,complete,Manager_#0,2017-10-06T10:41:19
17,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:03:13
17,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:17:51
17,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-06T09:41:19
17,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-09T03:41:19
17,Antrag prüfen,start,Manager_#0,2017-10-09T03:41:19
17,Antrag prüfen,complete,Manager_#0,2017-10-09T04:41:19
18,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:17:51
18,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:22:42
18,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-09T03:41:19
18,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-09T05:41:19
18,Antrag prüfen,start,Manager_#0,2017-10-09T05:41:19
18,Antrag prüfen,complete,Manager_#0,2017-10-09T06:41:19
18,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-24T04:56:22
18,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-24T05:17:35
18,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-09T04:27:54
18,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-09T06:27:54
18,Antrag prüfen,start,Manager_#0,2017-11-09T06:27:54
18,Antrag prüfen,complete,Manager_#0,2017-11-09T07:27:54
19,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:22:42
19,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:24:25
19,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-09T05:41:19
19,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-09T07:41:19
19,Antrag prüfen,start,Manager_#0,2017-10-09T07:41:19
19,Antrag prüfen,complete,Manager_#0,2017-10-09T08:41:19
20,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:24:25
20,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:27:09
20,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-09T07:41:19
20,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-09T09:41:19
20,Antrag prüfen,start,Manager_#0,2017-10-09T09:41:19
20,Antrag prüfen,complete,Manager_#0,2017-10-09T10:41:19
21,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:27:09
21,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:28:03
21,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-09T09:41:19
21,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-10T03:41:19
21,Antrag prüfen,start,Manager_#0,2017-10-10T03:41:19
21,Antrag prüfen,complete,Manager_#0,2017-10-10T04:41:19
21,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-24T09:18:05
21,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-24T09:23:52
21,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-09T08:27:54
21,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-10T02:27:54
21,Antrag prüfen,start,Manager_#0,2017-11-10T02:27:54
21,Antrag prüfen,complete,Manager_#0,2017-11-10T03:27:54
21,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-20T09:02:25
21,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-20T09:07:42
21,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-24T07:08:25
21,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-24T09:08:25
21,Antrag prüfen,start,Manager_#0,2017-11-24T09:08:25
21,Antrag prüfen,complete,Manager_#0,2017-11-27T02:08:25
21,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-30T08:41:04
21,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-30T09:08:41
21,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-12-04T08:37:28
21,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-12-04T08:45:52
21,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-12-05T03:14:46
21,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-12-05T05:14:46
21,Antrag prüfen,start,Manager_#0,2017-12-05T05:14:46
21,Antrag prüfen,complete,Manager_#0,2017-12-05T06:14:46
21,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-12-07T07:27:27
21,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-12-07T07:32:30
21,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-12-07T07:32:30
21,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-12-07T09:32:30
21,Antrag prüfen,start,Manager_#0,2017-12-07T09:32:30
21,Antrag prüfen,complete,Manager_#0,2017-12-08T02:32:30
22,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:28:03
22,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:37:54
22,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-10T04:14:32
22,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-10T06:14:32
22,Antrag prüfen,start,Manager_#0,2017-10-10T06:14:32
22,Antrag prüfen,complete,Manager_#0,2017-10-10T07:14:32
22,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-25T03:23:52
22,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-25T03:25:20
22,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-10T02:49:31
22,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-10T04:49:31
22,Antrag prüfen,start,Manager_#0,2017-11-10T04:49:31
22,Antrag prüfen,complete,Manager_#0,2017-11-10T05:49:31
22,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-20T09:07:42
22,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-21T02:03:19
22,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-27T09:21:18
22,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-27T09:24:34
22,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-30T02:41:04
22,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-30T04:41:04
22,Antrag prüfen,start,Manager_#0,2017-11-30T04:41:04
22,Antrag prüfen,complete,Manager_#0,2017-11-30T05:41:04
22,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-12-04T08:06:54
22,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-12-04T08:37:28
22,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-12-07T02:53:39
22,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-12-07T03:26:43
22,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-12-11T02:00:00
22,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-12-11T02:06:45
22,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-12-11T02:46:35
22,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-12-11T04:46:35
22,Antrag prüfen,start,Manager_#0,2017-12-11T04:46:35
22,Antrag prüfen,complete,Manager_#0,2017-12-11T05:46:35
23,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:37:54
23,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:40:39
23,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-10T06:14:32
23,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-10T08:14:32
23,Antrag prüfen,start,Manager_#0,2017-10-10T08:14:32
23,Antrag prüfen,complete,Manager_#0,2017-10-10T09:14:32
23,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-25T03:25:20
23,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-25T03:42:46
23,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-10T04:49:31
23,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-10T06:49:31
23,Antrag prüfen,start,Manager_#0,2017-11-10T06:49:31
23,Antrag prüfen,complete,Manager_#0,2017-11-10T07:49:31
23,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-21T02:09:21
23,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-21T02:22:25
23,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-27T03:08:25
23,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-27T05:08:25
23,Antrag prüfen,start,Manager_#0,2017-11-27T05:08:25
23,Antrag prüfen,complete,Manager_#0,2017-11-27T06:08:25
23,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-30T09:08:41
23,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-30T09:22:01
23,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-12-04T05:27:29
23,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-12-04T07:27:29
23,Antrag prüfen,start,Manager_#0,2017-12-04T07:27:29
23,Antrag prüfen,complete,Manager_#0,2017-12-04T08:27:29
23,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-12-06T08:35:01
23,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-12-06T08:53:39
23,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-12-07T03:26:43
23,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-12-07T05:26:43
23,Antrag prüfen,start,Manager_#0,2017-12-07T05:26:43
23,Antrag prüfen,complete,Manager_#0,2017-12-07T06:26:43
24,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:40:39
24,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:48:30
24,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-10T08:14:32
24,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-10T10:14:32
24,Antrag prüfen,start,Manager_#0,2017-10-10T10:14:32
24,Antrag prüfen,complete,Manager_#0,2017-10-11T03:14:32
24,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-25T03:42:46
24,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-25T04:11:22
24,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-10T07:43:55
24,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-10T07:46:38
24,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-16T08:42:48
24,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-17T02:42:48
24,Antrag prüfen,start,Manager_#0,2017-11-17T02:42:48
24,Antrag prüfen,complete,Manager_#0,2017-11-17T03:42:48
25,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:48:30
25,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T07:55:53
25,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-10T10:14:32
25,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-11T04:14:32
25,Antrag prüfen,start,Manager_#0,2017-10-11T04:14:32
25,Antrag prüfen,complete,Manager_#0,2017-10-11T05:14:32
26,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T07:55:53
26,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T08:22:47
26,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-19T10:43:02
26,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-20T03:56:47
26,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-08T04:12:40
26,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-08T04:27:54
26,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-15T07:07:58
26,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-15T09:07:58
26,Antrag prüfen,start,Manager_#0,2017-11-15T09:07:58
26,Antrag prüfen,complete,Manager_#0,2017-11-16T02:07:58
27,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T08:22:47
27,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T09:15:15
27,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-20T03:56:47
27,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-20T03:59:35
27,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-07T03:52:08
27,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-07T05:52:08
27,Antrag prüfen,start,Manager_#0,2017-11-07T05:52:08
27,Antrag prüfen,complete,Manager_#0,2017-11-07T06:52:08
27,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-15T09:56:37
27,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-16T02:07:00
27,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-23T04:44:16
27,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-23T06:44:16
27,Antrag prüfen,start,Manager_#0,2017-11-23T06:44:16
27,Antrag prüfen,complete,Manager_#0,2017-11-23T07:44:16
28,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T09:15:15
28,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T09:25:31
28,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-11T04:36:41
28,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-11T06:36:41
28,Antrag prüfen,start,Manager_#0,2017-10-11T06:36:41
28,Antrag prüfen,complete,Manager_#0,2017-10-11T07:36:41
28,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-27T08:11:22
28,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-27T08:42:22
28,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-10T08:51:26
28,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-10T09:06:52
28,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-20T04:42:48
